,schoolshort,studentid,gradelevelduringadminyear,ell,lunch_recode,sped_recode,ethnicity_recode,pre_score,lexilelevel,interim_score
4661,HUNTER,673741,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,535.0,between_6_yrs_fr,610.0
4662,HUNTER,673753,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,600.0,below_gl_4_6_yrs,665.0
4663,HUNTER,673765,7.0,EL,Paid,Non-Special Education,Hispanic or Latino,575.0,between_6_yrs_fr,690.0
4664,HUNTER,673789,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,-35.0,foundational_reader,70.0
4665,HUNTER,673801,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,690.0,below_gl_4_6_yrs,745.0
4666,HUNTER,673813,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,390.0,foundational_reader,530.0
4667,HUNTER,673825,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,405.0,foundational_reader,575.0
4668,HUNTER,673837,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,675.0,below_gl_4_6_yrs,725.0
4669,HUNTER,673849,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,890.0,below_gl_1_3_yrs,855.0
4670,HUNTER,673861,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,440.0,between_6_yrs_fr,<built-in function zeros>
4671,HUNTER,673873,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,810.0,below_gl_1_3_yrs,885.0
4672,HUNTER,673897,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,850.0,below_gl_1_3_yrs,885.0
4673,HUNTER,673921,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,below_gl_1_3_yrs,885.0
4674,HUNTER,673933,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,545.0,between_6_yrs_fr,525.0
4675,HUNTER,673957,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,185.0,foundational_reader,175.0
4676,HUNTER,673969,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,200.0,foundational_reader,365.0
4677,HUNTER,673993,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,475.0,between_6_yrs_fr,480.0
4678,HUNTER,674005,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,550.0,between_6_yrs_fr,550.0
4679,HUNTER,674017,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,435.0,between_6_yrs_fr,380.0
4680,HUNTER,674029,7.0,EO,Free/Reduced,Special Education,Hispanic or Latino,170.0,foundational_reader,300.0
4681,HUNTER,674041,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,220.0,foundational_reader,440.0
4682,HUNTER,674077,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,730.0,below_gl_4_6_yrs,830.0
4683,HUNTER,674089,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,950.0,below_gl_1_3_yrs,960.0
4684,HUNTER,674101,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,605.0,below_gl_4_6_yrs,630.0
4685,HUNTER,674113,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,935.0,below_gl_1_3_yrs,935.0
4686,HUNTER,674125,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,465.0,between_6_yrs_fr,610.0
4687,HUNTER,674137,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,715.0,below_gl_4_6_yrs,650.0
4688,HUNTER,674149,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,840.0,below_gl_1_3_yrs,845.0
4689,HUNTER,674161,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,620.0,below_gl_4_6_yrs,740.0
4690,HUNTER,674173,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1090.0,college_ready,1145.0
4691,HUNTER,674185,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,870.0,below_gl_1_3_yrs,940.0
4692,HUNTER,674209,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,575.0,between_6_yrs_fr,635.0
4693,HUNTER,674233,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,780.0,below_gl_4_6_yrs,840.0
4694,HUNTER,674245,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,705.0,below_gl_4_6_yrs,825.0
4695,HUNTER,674257,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,610.0,below_gl_4_6_yrs,690.0
4696,HUNTER,674269,7.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,770.0,below_gl_4_6_yrs,850.0
4697,HUNTER,674281,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,450.0,between_6_yrs_fr,545.0
4698,HUNTER,674305,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,600.0,below_gl_4_6_yrs,720.0
4699,HUNTER,674329,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,420.0,between_6_yrs_fr,480.0
4700,HUNTER,674341,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,635.0,below_gl_4_6_yrs,640.0
4701,HUNTER,674353,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,925.0,below_gl_1_3_yrs,965.0
4702,HUNTER,674377,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,575.0,between_6_yrs_fr,665.0
4703,HUNTER,674389,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,495.0,between_6_yrs_fr,655.0
4704,HUNTER,674401,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,615.0,below_gl_4_6_yrs,755.0
4705,HUNTER,674413,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,855.0,below_gl_1_3_yrs,825.0
4706,HUNTER,674425,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,465.0,between_6_yrs_fr,570.0
4707,HUNTER,674437,7.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,780.0,below_gl_4_6_yrs,745.0
4708,HUNTER,674449,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,860.0,below_gl_1_3_yrs,910.0
4709,HUNTER,674485,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,490.0,between_6_yrs_fr,515.0
